ID,BPM,KEY,PART,TITLE,ARTIST,ORIGIN,SEASON,YEAR,TYPE,NOTES
000054,85,A Major,,"Baby Sweet, Berry Sweet",Yui Ogura,"The ""Hentai"" Prince and the Stony Cat.",,2013,Anime,
000055,82,F Major,,Mukaikaze,YOHKO,Maoyuu Maou Yuusha,,2013,Anime,
000056,85,A Major,,Daisy,STEREO DIVE FOUNDATION,Beyond the Boundary,,2013,Anime,
000057,83,A Major,,Kimi ga Emu Yuugure,Yoshino Nanjo,Tokyo Ravens,,2014,Anime,
000058,"77.5, 77.5, 77.5, 77.5","C Major, D# Major, C Major, C Major","Intro, Verse, Prechorus, Chorus",Rakuen no Tsubasa,Maon Kurosaki,The Fruit of Grisaia,,2014,Anime,
000059,84,D Major,,Niji no Oto,Eir Aoi,Sword Art Online: Extra Edition,,2014,Anime,
000060,"84, 84","C# Major, D# Major","Verse, Chorus",I swear,Sweet ARMS,Date A Live II,,2014,Anime,
000061,86,G Major,,Orange,7!!,Your Lie in April,,2014,Anime,
000062,82.5,G# Major,,LOVE GOOD TIME,SpecialThanks,Wolf Girl and Black Prince,,2014,Anime,
000063,77,A Major,,KOI NO UTA,Keiji Fujiwara,Tamako Love Story,,2014,Anime,
000064,71,D# Major,,"Kyouran, Hey Kids!!",THE ORAL CIGARETTES,Noragami Aragoto,,2014,Anime,
000065,70,G# Major,,Ah Yeah!,Sukima Switch,Haikyuu!! Season 2,,2014,Anime,
000066,84,C Major,,Rashisa,SUPER BEAVER,Rashisa,,2014,Anime,
000067,85,G Major,,Tomadoi Recipe,Mikakuning!,Engaged to the Unidentified,,2014,Anime,
000068,85.5,C Major,,IGNITE,Eir Aoi,Sword Art Online II,,2014,Anime,
000069,87,A Major,,Q&A,"Marina Inoue, Saeko Zougou",Date A Live II,,2014,Anime,
000070,80,A Major,,Hikaru Nara,Goose house,Your Lie in April,,2014,Anime,
000071,"73.5, 73.5, 73.5","E Major, G Major, G Major","Verse, Prechorus, Chorus",This game,Konomi Suzuki,"No Game, No Life",,2014,Anime,
000072,75,D# Major,,Daydream Café,Petit Rabbit's,Is the Order a Rabbit?,,2014,Anime,
000073,80,D Major,,Netsuju no Spectrum,Ikimono-gakari,The Seven Deadly Sins,,2014,Anime,
000074,"77.5, 77.5, 77.5","A# Major, C# Major, A# Major","Intro, Verse, Chorus",black bullet,fripSide,Black Bullet,,2014,Anime,
000075,73,G Major,,STEP,ClariS,Nisekoi: False Love,,2014,Anime,
000076,"77.5, 77.5, 77.5","F Major, D Major, F Major","Intro, Verse, Chorus",Nanairo Symphony,Coalamode,Your Lie in April,,2014,Anime,
000077,"75, 75, 75, 75","D# Major, D# Major, F# Major, F# Major","Verse, Chorus, Bridge, Last Chorus",Kanade,Sora Amamiya,One Week Friends,,2014,Anime,
000078,76.5,F Major,,Colorful,Miku Sawai,Saekano: How to Raise a Boring Girlfriend,,2015,Anime,
000079,82,G Major,,Kuchizuke Diamond,WEAVER,Yamada-kun and the Seven Witches,,2015,Anime,
000080,80,C# Major,,Candy Magic,MimimemeMIMI,Yamada-kun and the Seven Witches,,2015,Anime,
000081,77,D Major,,Everyday World,"Saori Hayami, Nao Toyama",My Teen Romantic Comedy SNAFU,,2015,Anime,
000082,"75, 75","F Major, G# Major","Verse, Chorus",Bravely You,Lia,Charlotte,,2015,Anime,
000083,79,E Major,,No Poi!,Petit Rabbit's,Is the Order a Rabbit??,,2015,Anime,
000084,82.5,D Major,, -toward the truth- ,fripSide,Seraph of the End,,2015,Anime,
000085,85.5,G# Major,,Brave Shine,Aimer,Fate/stay night: Unlimited Blade Works,,2015,Anime,
000086,87,D Major,,Harumodoki,nagi yanagi,My Teen Romantic Comedy SNAFU TOO!,,2015,Anime,
000087,70,D# Major,,Akatsuki no Hana,Cyntia,Yona of the Dawn,,2015,Anime,
000088,79.5,D# Major,,Season,Alisa Takigawa,The Seven Deadly Sins,,2015,Anime,
000089,79.5,G Major,,Yasashii Kibou,Saori Hayami,Snow White with the Red Hair,,2015,Anime,
000090,"74, 79","D# Major, D# Major","Intro, Verse",Ring of Fortune,Eri Sasaki,Plastic Memories,,2015,Anime,
000091,83,A# Major,,Miraikei Answer,TRUSTRICK,My Love Story!!,,2015,Anime,
000092,80,D Major,,Hello shooting star,Moumoon,Assassination Classroom,,2015,Anime,
000093,75.5,C Major,,B Chiku Sentai SOX,SOX,Shimoneta: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,,2015,Anime,
000094,85,E Major,,Umarun Taisou,"Aya Suzaki, Yumiri Hanamori, Rumi Ookubo, Haruka Shiraishi",Himouto! Umaru-chan,,2015,Anime,
000095,82,F# Major,,Kimiiro Signal,Luna Haruna,Saekano: How to Raise a Boring Girlfriend,,2015,Anime,
000096,"85, 85","C Major, A Major","Verse, Chorus",Tokimeki Poporon,"Inori Minase, Sora Tokui, Rie Murakawa",Is the Order a Rabbit?,,2015,Anime,
000097,70,G# Major,,Stay Alive,Rie Takahashi,Re:Zero − Starting Life in Another World,,2016,Anime,
000098,82,F# Major,,Koi wo Shita no wa,Aiko,A Silent Voice,,2016,Anime,
000099,75,D Major,,Knew day,(k)NoW_NAME,"Grimgar, Ashes and Illusions",,2016,Anime,
000100,71.5,A# Major,,The Asterisk War,Shiena Nishizawa,The Asterisk War: Season 2,,2016,Anime,
000101,"82.5, 82.5, 82.5","F Major, G Major, F Major","Intro, Verse, Chorus",Daisuki dayo,"Ai Kakuma, Nobuhiko Okamoto",Momokuri,,2016,Anime,
000102,84,F# Major,,99.9,MOB CHOIR feat. sajou no hana,Mob Psycho 100 II,,2016,Anime,
000103,73,G# Major,,Shirushi,LiSA,Sword Art Online: Season 2,,2016,Anime,
000104,79,C Major,,Chiisana Boukensha,"Inori Minase, Sora Amamiya, Rie Takahashi",KONOSUBA: God's blessing on this wonderful world!,,2016,Anime,
000105,85,F# Major,,Great Days,"Karen Aoki, Daisuke Hasegawa",JoJo's Bizarre Adventure: Diamond is Unbreakable,,2016,Anime,
000106,77.5,E Major,,Re: Re:,ASIAN KUNG-FU GENERATION,ERASED: Boku dake ga Inai Machi,,2016,Anime,
000107,71,E Major,,Kaze no Uta,FLOW,Tales of Zestiria the X,,2016,Anime,
000108,85,D Major,,7 -seven-,FLOW x GRANRODEO,The Seven Deadly Sins,,2016,Anime,
000109,70.5,F Major,,LAY YOUR HANDS ON ME,Boom Boom Satellites,Kiznaiver,,2016,Anime,
000110,77,E Major,,Sekai wa Kyou mo Atarashii,Kana Hanazawa,Girls Beyond the Wasteland,,2016,Anime,
000111,70,G Major,,Steppin' Out,FLOW,Durarara!!x2 Ketsu,,2016,Anime,
000112,"70, 70","E Major, F Major","Verse, Chorus",Ima Koko,Nao Touyama,"As The Moon, So Beautiful",,2017,Anime,
000113,74,F# Major,,Akane Sasu,Aimer,Natsume's Book of Friends,,2017,Anime,
000114,"80, 80, 80","A Major, C Major, D# Major","Verse, Chorus, Postchorus",Shinzou wo Sasageyo,Linked Horizon,Attack on Titan: Season 2,,2017,Anime,
000115,"76, 76, 76","F Major, F Major, F# Major","Verse, Chorus, Last Chorus",Bon Appetit S,"Azumi Waki, Akari Kito, Anzu Haruno",Blend S,,2017,Anime,
000116,85,F# Major,,Sen no Tsubasa,livetune adding Takuro Sugawara (from 9mm Parabellum Bullet),Re:Hamatora,,2017,Anime,
000117,85,G Major,,Nimensei☆Uraomote,Aimi Tanaka,Himouto! Umaru-chan: 2nd Season,,2017,Anime,
000118,71,F Major,,Kanashii Ureshii,frederic,Love & Lies,,2017,Anime,
000119,"78, 78, 78","E Major, C# Major, G Major","Intro, Verse, Chorus",Caste Room,ZAQ,Classroom of the Elite,,2017,Anime,
000120,70,G Major,,Hope,Namie Amuro,One Piece,,2017,Anime,
