ID,BPM,KEY,PART,TITLE,ARTIST,ORIGIN,SEASON,YEAR,TYPE,NOTES
K00070,86,D# Major,,Under Cover,A.C.E,UNDER COVER,Spring,2019,KPop,
K00071,86,G Major,,Thank U,GOT7,Eyes On You,Winter,2018,KPop,
K00072,86,C Major,,With*One,IZ*ONE,Oneiric Diary,Spring,2020,KPop,
K00073,86,G Major,,Buddy,LUCY,Gatcha!,Spring,2021,KPop,
K00074,86,F# Major,,Déjà Vu,NCT DREAM,NCT Resonance Pt. 1,Fall,2020,KPop,
K00075,86,C# Major,,4419,Stray Kids,Mixtape,Winter,2018,KPop,
K00076,86,G# Major,,Handle It,TWICE,Eyes Wide Open,Fall,2020,KPop,
K00077,86,F Major,,Behind the Mask,TWICE,Eyes Wide Open,Fall,2020,KPop,
K00078,86,A# Major,,Hide And Seek,Wanna One,1¹¹=1 (POWER OF DESTINY),Fall,2018,KPop,
K00079,87,F# Major,,Borders,Amber Liu,Borders,Winter,2016,KPop,
K00080,87,D# Major,,Intro: The Most Beautiful Moment in Life,BTS,The Most Beautiful Moment in Life Pt.1,Spring,2015,KPop,
K00081,87,E Major,,Let Go,BTS,FACE YOURSELF,Spring,2018,KPop,
K00082,87,A Major,,Intro : Persona,BTS,MAP OF THE SOUL : PERSONA,Spring,2019,KPop,
K00083,87,D# Major,,Toward Tommorow,H&D,Happy Day,Winter,2020,KPop,
K00084,87,E Major,,Switch It Up (Prod. Cha Cha Malone),JAY B & sokodomo,SOMO: FUME,Summer,2021,KPop,
K00085,87,C# Major,,Hero,LUCY,INSIDE,Winter,2021,KPop,
K00086,87,A Major,,Rebirth,RED VELVET,Rebirth,Summer,2017,KPop,
K00087,87,E Major,,Awake!,Wanna One,1¹¹=1 (POWER OF DESTINY),Fall,2018,KPop,
K00088,88,F# Major,,Take You Home,BAEKHYUN,Take You Home,Spring,2017,KPop,
K00089,88,C# Major,,STAY,BLACKPINK,SQUARE TWO,Fall,2016,KPop,
K00090,88,D# Major,,Epilogue: Young Forever,BTS,The Most Beautiful Moment in Life: Young Forever,Spring,2016,KPop,
K00091,88,D Major,,I'm Fine,BTS,Love Yourself 結 Answer,Summer,2018,KPop,
K00092,88,D Major,,Dionysus,BTS,MAP OF THE SOUL : PERSONA,Spring,2019,KPop,
K00093,88,G Major,,Lullaby,DREAMCATCHER,Fall asleep in the mirror,Spring,2017,KPop,
K00094,88,C Major,,X X,LOONA,[X X],Winter,2019,KPop,
K00095,88,C# Major,,SELFISH,Moonbyul & Seulgi,SELFISH,Spring,2018,KPop,
K00096,88,D# Major,,Road Trip,NCT 127,Sticker,Summer,2021,KPop,
K00097,88,A Major,,HOME,SEVENTEEN,YOU MADE MY DAWN,Winter,2019,KPop,
K00098,88,D Major,,Mixtape: OH,Stray Kids,Mixtape: OH,Spring,2021,KPop,
K00099,88,E Major,,1 to 10,TWICE,TWICEcoaster: Lane 1,Fall,2016,KPop,
K00100,88,C Major,,Holiday Party,WEEEKLY,Play Game : Holiday,Summer,2021,KPop,
K00101,88,D Major,,Interlude : Question,ENHYPEN,DIMENSION: DILEMMA,Fall,2021,KPop,
K00102,89,G Major,,Elegante,Azer,Elegante,Winter,2021,KPop,
K00103,89,A# Major,,Outro : Her,BTS,Love Yourself 承 Her,Summer,2017,KPop,
K00104,89,G Major,,CALLING YOU,Highlight,CALLING YOU,Spring,2017,KPop,
K00105,89,G# Major,,RUMOR,KARD,RUMOR,Spring,2017,KPop,
K00106,89,F# Major,,Warning (feat. lIlBOI),KIMSEJEONG,I'm,Winter,2021,KPop,
K00107,89,D# Major,,Fly Away With Me,NCT 127,NCT #127 Regular-Irregular,Fall,2018,KPop,
K00108,89,F Major,,TIAMO,T-ARA,REMEMBER,Fall,2016,KPop,
K00109,89,G Major,,All Night Long (feat. LUCAS),TAEYEON,Something New,Spring,2018,KPop,
K00110,89,A# Major,,Like a Fool,TWICE,The Story Begins,Fall,2015,KPop,
K00111,89,D Major,,What a Wonderful Word ,Young K & PARKMOONCHI,What a Wonderful Word ,Winter,2021,KPop,
K00112,90,G Major,,Black Mamba,aespa,Black Mamba,Fall,2020,KPop,
K00113,90,G Major,,First Love,AFTER SCHOOL,First Love,Spring,2013,KPop,
K00114,90,G Major,,72414800%,Agust D,Agust D,Summer,2016,KPop,
K00115,90,D# Major,,Strange (feat. RM),Agust D,D-2,Spring,2020,KPop,
K00116,90,G Major,,Dancing Like Butterfly Wings,ATEEZ,TREASURE EP.3: One To All,Spring,2019,KPop,
K00117,90,F Major,,Restless,BIBI,LISTEN 035 Restless,Winter,2020,KPop,
K00118,90,D# Major,,BAD SAD AND MAD,BIBI,Life is a Bi…,Spring,2021,KPop,
K00119,90,D# Major,,LOSER,BIGBANG,M,Spring,2015,KPop,
K00120,90,E Major,,WE LIKE 2 PARTY,BIGBANG,A,Spring,2015,KPop,
K00121,90,D# Major,,ZUTTER (GD&T.O.P),BIGBANG,E,Summer,2015,KPop,
K00122,90,D# Major,,FXXK IT,BIGBANG,MADE,Fall,2016,KPop,
K00123,90,G Major,,Toy,Block B,Blooming Period,Spring,2016,KPop,
K00124,90,C Major,,Only One,BoA,Only One,Summer,2012,KPop,
K00125,90,D# Major,,Leo,BOL4 & Baekhyun,Leo,Spring,2020,KPop,
K00126,90,D# Major,,Beep Beep,BTOB,Beep Beep,Winter,2014,KPop,
K00127,90,E Major,,Rain,BTS,Dark & Wild,Summer,2014,KPop,
K00128,90,C# Major,,Whalien 52,BTS,The Most Beautiful Moment in Life Pt.2,Fall,2015,KPop,
K00129,90,G# Major,,Hands Up,Cherry Bullet,Hands Up,Winter,2020,KPop,
K00130,90,C Major,,Emotion,DREAMCATCHER,Nightmare,Winter,2017,KPop,
K00131,90,D Major,,Which a star,DREAMCATCHER,Escape the ERA,Spring,2018,KPop,
K00132,90,G# Major,,Deja Vu,DREAMCATCHER,Raid of Dream,Summer,2019,KPop,
K00133,90,D Major,,SAHARA,DREAMCATCHER,Dystopia: The Tree of Language,Winter,2020,KPop,
K00134,90,D# Major,,Daybreak,DREAMCATCHER,Dystopia: The Tree of Language,Winter,2020,KPop,
K00135,90,A# Major,,Starlight,ENOi,"For RAYS, Realize All Your Star",Fall,2019,KPop,
K00136,90,C# Major,,Cave Me In,Eric Nam & Gallant & Tablo,Cave Me In,Winter,2017,KPop,
K00137,90,F Major,,MAMA,EXO,Mama,Spring,2012,KPop,
K00138,90,D Major,,Growl,EXO,XOXO (Repackage),Summer,2013,KPop,
K00139,90,F Major,,Runaway,EXO,DON'T FIGHT THE FEELING,Spring,2021,KPop,
K00140,90,D# Major,,Telephone,EXO-SC & 10cm,Telephone,Summer,2020,KPop,
K00141,90,C# Major,,WHO YOU?,G-DRAGON,COUP D'ETAT,Summer,2013,KPop,
K00142,90,D# Major,,Psycho4U,GIRLKIND,Psycho4U,Fall,2020,KPop,
K00143,90,D Major,,LET ME,Golden Child,Goldenness,Summer,2018,KPop,
K00144,90,D# Major,,Girls Girls Girls,GOT7,Got It?,Winter,2014,KPop,
K00145,90,F Major,,AURA,GOT7,DYE,Spring,2020,KPop,
K00146,90,D# Major,,Child,Han Seungwoo,Fame,Summer,2020,KPop,
K00147,90,F Major,,DRIP,HINAPIA,New Start,Fall,2019,KPop,
K00148,90,B Major,,Baragi,Hyunjun Hur,Baragi,Summer,2020,KPop,
K00149,90,A# Major,,I'M OK,iKON,NEW KIDS REPACKAGE : THE NEW KIDS,Winter,2019,KPop,
K00150,90,G Major,,NOBODY LIKE YOU,ITZY,It'z Me,Winter,2020,KPop,
K00151,90,F Major,,DAMAGE,JUST B,JUST BURN,Spring,2021,KPop,
K00152,90,F# Major,,ECHO,KATIE,ECHO,Spring,2020,KPop,
K00153,90,D# Major,,Galaxy,LADIES' CODE,MYST3RY,Winter,2016,KPop,
K00154,90,A# Major,,A Different Night,LOONA,[&],Spring,2021,KPop,
K00155,90,E Major,,U R,LOONA,[&],Spring,2021,KPop,
K00156,90,D Major,,Happier than Ever,MAMAMOO,I SAY MAMAMOO : THE BEST,Summer,2021,KPop,
K00157,90,B Major,,2cm (Feat. Paul Kim),MINSEO,The Diary of Youth,Winter,2019,KPop,
K00158,90,B Major,,GONE COLD,MXM,REMATCH,Winter,2018,KPop,
K00159,90,G Major,,Lemonade,NCT 127,Sticker,Summer,2021,KPop,
K00160,90,F# Major,,Diggity,NCT DREAM,Hot Sauce,Spring,2021,KPop,
K00161,90,D Major,,Irreplaceable,NCT DREAM,Hot Sauce,Spring,2021,KPop,
K00162,90,B Major,,Magic,OH MY GIRL,SECRET GARDEN,Winter,2018,KPop,
K00163,90,E Major,,VAMOS,OMEGA X,VAMOS,Spring,2021,KPop,
K00164,90,G# Major,,夢を見ている間,PRODUCE 48,PRODUCE 48 - FINAL,Summer,2018,KPop,
K00165,90,F Major,,U GOT IT,PRODUCE X 101,31 Boys 5 Concepts,Summer,2019,KPop,
K00166,90,E Major,,Campfire,RED VELVET,The Red,Summer,2015,KPop,
K00167,90,D# Major,,MY I,SEVENTEEN,Al1,Spring,2017,KPop,
K00168,90,G Major,,GLOW,Stray Kids,Mixtape,Winter,2018,KPop,
K00169,90,F Major,,Ex,Stray Kids,IN LIFE,Summer,2020,KPop,
K00170,90,A# Major,,Drive,Stray Kids,SKZ-PLAYER,Summer,2021,KPop,
K00171,90,F Major,,CHEESE,Stray Kids,NOEASY,Summer,2021,KPop,
K00172,90,A Major,,I (feat. Verbal Jint),TAEYEON,I,Fall,2015,KPop,
K00173,90,G Major,,The Light,THE ARK,Somebody 4 Life,Spring,2015,KPop,
K00174,90,F Major,,Breaking Dawn,THE BOYZ,Breaking Dawn,Winter,2021,KPop,
K00175,90,G# Major,,Candy Boy,TWICE,The Story Begins,Fall,2015,KPop,
K00176,90,B Major,,One in a Million,TWICE,TWICEcoaster: Lane 1,Fall,2016,KPop,
K00177,90,F# Major,,21:29,TWICE,Feel Special,Summer,2019,KPop,
K00178,90,D# Major,,Wanna,Wanna One,1-1=0 (NOTHING WITHOUT YOU),Fall,2017,KPop,
K00179,90,E Major,,Domino,WayV,Awaken The World,Spring,2020,KPop,
K00180,90,C# Major,,Stand By Me,WayV,Awaken The World,Spring,2020,KPop,
K00181,90,F Major,,Kick Back,WayV,Kick Back,Winter,2021,KPop,
K00182,90,C Major,,empty,WINNER,2014 S/S,Summer,2014,KPop,
K00183,90,F Major,,YOU GOT IT - X1 Version,X1,QUANTUM LEAP,Summer,2019,KPop,
K00184,90,F# Major,,Mermaid,YEEUN,GOOD GIRL FINAL,Summer,2020,KPop,
K00185,90,A# Major,,CALL,Stray Kids,Scars,Fall,2021,KPop,
K00186,91,~ Major,,140503 at Dawn,Agust D,Agust D,Summer,2016,KPop,
K00187,91,C Major,,Respect,BTS,MAP OF THE SOUL : 7,Winter,2020,KPop,
K00188,91,A# Major,,Sleepless rainy night,IU,A flower bookmark,Summer,2017,KPop,
K00189,91,D Major,,You & I,IZ*ONE,BLOOM*IZ,Winter,2020,KPop,
K00190,91,B Major,,Punch,NCT 127,NCT 127 Neo Zone: The Final Round,Spring,2020,KPop,
K00191,91,D Major,,La La Love,NCT DREAM,We Young,Summer,2017,KPop,
