SECTION_ID,SONG_ID,PART,BPM,KEY,SECTION_ORDER
530,361,Full Song,87.0,F Major,1
531,362,Full Song,125.0,D# Major,1
532,363,Full Song,97.5,E Major,1
533,364,Intro,136.0,C Major,1
534,364,Verse,136.0,A Major,2
535,364,Chorus,136.0,C Major,3
536,365,Intro,87.0,G# Major,1
537,365,Verse,114.66,G# Major,2
538,365,Prechorus,114.66,G# Major,3
539,365,Chorus,114.66,A Major,4
540,366,Verse,89.0,G Major,1
541,366,Chorus,89.0,A Major,2
542,366,Postchorus,89.0,G Major,3
543,366,Bridge,89.0,A Major,4
544,367,Verse,123.0,A Major,1
545,367,Chorus,123.0,B Major,2
546,368,Verse,98.5,G Major,1
547,368,Chorus,98.5,E Major,2
548,369,Full Song,84.5,G# Major,1
549,370,Intro 1,98.0,F Major,1
550,370,Intro 2,97.5,F Major,2
551,370,Verse,97.5,F Major,3
552,370,Chorus,97.5,D# Major,4
553,370,Postchorus,97.5,E Major,5
554,371,Verse,79.0,F# Major,1
555,371,Chorus,79.0,F Major,2
556,372,Full Song,85.0,D Major,1
557,373,Verse,120.0,D# Major,1
558,373,Chorus,120.0,C Major,2
559,374,Full Song,71.5,E Major,1
560,375,Verse,94.0,C Major,1
561,375,Chorus,94.0,A Major,2
562,375,Bridge,94.0,A Major,3
563,376,Full Song,108.0,G Major,1
564,377,Full Song,128.0,C Major,1
565,378,Full Song,101.0,D# Major,1
566,379,Full Song,80.5,G# Major,1
567,380,Full Song,137.0,B Major,1
568,381,Full Song,127.0,C# Major,1
569,382,Full Song,83.5,G Major,1
570,383,Full Song,128.0,G Major,1
571,384,Full Song,72.5,A# Major,1
572,385,Full Song,92.5,E Major,1
573,386,Full Song,78.0,F# Major,1
574,387,Full Song,132.0,D# Major,1
575,388,Full Song,84.0,G# Major,1
576,389,Full Song,92.5,G# Major,1
577,390,Full Song,105.0,C# Major,1
578,391,Full Song,131.0,G Major,1
579,392,Full Song,80.0,A Major,1
580,393,Full Song,94.0,G Major,1
581,394,Full Song,70.0,F Major,1
582,395,Full Song,79.0,G Major,1
583,396,Full Song,136.0,D Major,1
584,397,Full Song,110.0,D# Major,1
585,398,Full Song,90.0,E Major,1
586,399,Verse,87.5,G# Major,1
587,399,Chorus,87.5,F Major,2
588,400,Full Song,92.5,E Major,1
589,401,Verse,98.0,A Major,1
590,401,Chorus,98.0,C Major,2
591,401,Postchorus,98.0,D Major,3
592,402,Full Song,135.0,F Major,1
593,403,Verse,111.0,F# Major,1
594,403,Chorus,111.0,D Major,2
595,404,Full Song,85.0,C# Major,1
596,405,Full Song,130.0,A Major,1
597,406,Verse,85.0,B Major,1
598,406,Chorus,85.0,E Major,2
599,406,Bridge,85.0,C# Major,3
600,406,Last Chorus,85.0,F Major,4
601,407,Verse,120.0,D Major,1
602,407,Chorus,120.0,A Major,2
603,408,Full Song,124.0,D Major,1
604,409,Full Song,97.5,F# Major,1
605,410,Intro 1,107.5,F Major,1
606,410,Intro 2,107.5,G Major,2
607,410,Verse,107.5,G Major,3
608,410,Chorus,107.5,F Major,4
609,411,Full Song,86.0,F# Major,1
610,412,Full Song,98.0,A Major,1
611,413,Intro,79.0,D# Major,1
612,413,Verse,85.0,D# Major,2
613,413,Chorus,85.0,D# Major,3
614,414,Full Song,100.0,E Major,1
615,415,Full Song,90.0,G Major,1
616,416,Full Song,114.0,E Major,1
617,417,Verse,86.0,E Major,1
618,417,Chorus,86.0,A# Major,2
619,418,Full Song,135.0,F# Major,1
620,419,Full Song,70.0,D Major,1
621,420,Full Song,100.0,F# Major,1
622,421,Verse,102.5,G# Major,1
623,421,Prechorus,102.5,E Major,2
624,421,Chorus,102.5,C Major,3
625,422,Verse,72.5,G Major,1
626,422,Chorus,72.5,A# Major,2
627,423,Full Song,92.5,B Major,1
628,424,Verse,88.0,F Major,1
629,424,Prechorus,88.0,G# Major,2
630,424,Chorus,88.0,F Major,3
631,425,Full Song,83.0,A# Major,1
632,426,Full Song,115.0,C# Major,1
633,427,Verse,90.0,D Major,1
634,427,Chorus,90.0,B Major,2
635,428,Full Song,136.0,F Major,1
636,429,Verse,85.5,G# Major,1
637,429,Chorus,85.5,A Major,2
638,430,Full Song,136.0,G Major,1
639,431,Verse,87.5,C# Major,1
640,431,Chorus,87.5,D# Major,2
641,432,Full Song,86.0,F Major,1
642,433,Full Song,74.5,G Major,1
643,434,Full Song,100.0,D Major,1
644,435,Full Song,106.0,D# Major,1
645,436,Full Song,82.0,C# Major,1
646,437,Full Song,73.0,F Major,1
647,438,Full Song,89.0,D# Major,1
648,439,Full Song,102.0,F# Major,1
649,440,Full Song,88.0,G# Major,1
650,441,Full Song,87.5,G Major,1
