id,title,artist,type,origin,season,year,notes
1,CHA-LA HEAD CHA-LA,Hironobu Kageyama,Anime,Dragon Ball Z,,1989,
2,Kimi ga Suki da to Sake Bitai,Baad,Anime,Slam Dunk,,1993,
3,D-TecnoLife,UVERworld,Anime,Bleach,,2005,
4,Red fraction,MELL,Anime,Black Lagoon,,2006,
5,Sakura Kiss,Chieko Kawabe,Anime,Ouran High School Host Club,,2006,
6,PAPERMOON,Tommy heavenly6,Anime,Soul Eater,,2008,
7,Monochrome Kiss,SID,Anime,Black Butler,,2008,
8,Special days,"Hitomi Nabatame, Yuuko Gotou, Ayahi Takagaki",Anime,Special A,,2008,
9,Blue Bird,Ikimono-gakari,Anime,Naruto Shippuden,,2008,
10,Pre-Parade,"Rie Kugimiya, Yui Horie, Eri Kitamura",Anime,Toradora!,,2008,
11,Cagayake Girls,Houkago Tea Time,Anime,K-On!,,2009,
12,Vanilla Salt,Yui Horie,Anime,Toradora,,2009,
13,Hologram,NICO Touches the Walls,Anime,Fullmetal Alchemist: Brotherhood,,2009,
14,"My Soul, Your Beats",Lia,Anime,Angel Beats,,2010,
15,again,yui,Anime,Fullmetal Alchemist: Brotherhood,,2010,
16,Uragirinoyuuyake,Theatre Brook,Anime,Durarara!!,,2010,
17,God only knows,Oratorio The World God Only Knows (ELISA),Anime,The World God Only Knows,,2010,
18,Snow Halation,μ's,Anime,Love Live! School Idol Project,,2010,
19,Balance KISS,"Ayana Taketatsu, Yuiko Tatsumi",Anime,Kiss X Sis,,2010,
20,Bouken Desho Desho?,Aya Hirano,Anime,The Disappearance of Haruhi Suzumiya,,2010,
21,Loop-the-Loop,KOTOKO,Anime,Motto To Love-Ru,,2010,
22,My Dearest,supercell,Anime,Guilty Crown,,2011,
23,oath sign,LiSA,Anime,Fate/Zero,,2011,
24,departure!,Masatoshi Ono,Anime,Hunter x Hunter (2011),,2011,
25,Be Starters!,Eri Kitamura,Anime,Mayo Chiki!,,2011,
26,The Everlasting Guilty,EGOIST,Anime,Guilty Crown,,2011,
27,Nakimushi.,Miku Sawai,Anime,You and Me.,,2011,
28,Dream of Life,Shohei Itou,Anime,Bakuman.: Season 2,,2011,
29,Kimi + Nazo + Watashi de JUMP!!,Larval Stage Planning,Anime,Baka & Test: Summon the Beasts,,2011,
30,Departures (Anata ni Okuru Ai no Uta),EGOIST,Anime,Guilty Crown,,2011,
31,Hacking To The Gate,Kanako Itou,Anime,Steins;Gate,,2011,
32,Fly Away,Togashi Misuzu,Anime,Maken-ki!,,2011,
33,Destin Histoire,yoshiki*lisa,Anime,Gosick,,2011,
34,STRAIGHT JET,Minami Kuribayashi,Anime,Infinite Stratos,,2011,
35,DAYS of DASH,Konomi Suzuki,Anime,The Pet Girl of Sakurasou,,2012,
36,Reason why XXX,Sasaki Sayaka,Anime,"So, I Can't Play H!",,2012,
37,Platinum 17,yozuca*,Anime,"So, I Can't Play H!",,2012,
38,Kamisama Hajime,Hanae,Anime,Kamisama Kiss,,2012,
39,Little Busters,Rita,Anime,Little Busters!,,2012,
40,abnormalize,Ling Tosite Sigure,Anime,Psycho-Pass,,2012,
41,Nippon Egao Hyakk,Momoiro Clover Z,Anime,Joshiraku,,2012,
42,Burst the Gravity,ALTIMA ,Anime,Accel World,,2012,
43,Above your hand,Annabel,Anime,Sankarea,,2012,
44,Paradigm,Eufonius,Anime,Kokoro Connect,,2012,
45,Sono Chi no Sadame,Hiroaki TOMMY Tominaga,Anime,JoJo's Bizarre Adventure (2012),,2012,
46,Kyoumu Densen,ALI PROJECT,Anime,Another,,2012,
47,Yumesekai,Haruka Tomatsu,Anime,Sword Art Online,,2012,
48,Yukitoki,Nagi Yanagi,Anime,My Teen Romantic Comedy SNAFU,,2013,
49,Golden Time,Yui Horie,Anime,Golden Time,,2013,
50,The Other self,GRANRODEO,Anime,Kuroko no Basket,,2013,
51,Girlish Lover,Mizukara wo Enshutsu Suru Otome no Kai,Anime,Oreshura,,2013,
52,May I Help You?,"Ai Kayano, Mai Nakahara, Aki Toyosaki",Anime,Servant x Service,,2013,
53,Dramatic Market Ride,Aya Suzaki,Anime,Tamako Market,,2013,
54,"Baby Sweet, Berry Sweet",Yui Ogura,Anime,"The ""Hentai"" Prince and the Stony Cat.",,2013,
55,Mukaikaze,YOHKO,Anime,Maoyuu Maou Yuusha,,2013,
