SECTION_ID,SONG_ID,PART,BPM,KEY,SECTION_ORDER
165,110,Full Song,77.0,E Major,1
166,111,Full Song,70.0,G Major,1
167,112,Verse,70.0,E Major,1
168,112,Chorus,70.0,F Major,2
169,113,Full Song,74.0,F# Major,1
170,114,Verse,80.0,A Major,1
171,114,Chorus,80.0,C Major,2
172,114,Postchorus,80.0,D# Major,3
173,115,Verse,76.0,F Major,1
174,115,Chorus,76.0,F Major,2
175,115,Last Chorus,76.0,F# Major,3
176,116,Full Song,85.0,F# Major,1
177,117,Full Song,85.0,G Major,1
178,118,Full Song,71.0,F Major,1
179,119,Intro,78.0,E Major,1
180,119,Verse,78.0,C# Major,2
181,119,Chorus,78.0,G Major,3
182,120,Full Song,70.0,G Major,1
183,121,Full Song,73.0,F# Major,1
184,122,Full Song,84.0,G Major,1
185,123,Full Song,73.0,F Major,1
186,124,Full Song,82.0,C Major,1
187,125,Full Song,71.0,G Major,1
188,126,Full Song,80.0,C Major,1
189,127,Verse,82.5,D# Major,1
190,127,Chorus,82.5,A# Major,2
191,128,Full Song,71.5,C Major,1
192,129,Full Song,72.0,G# Major,1
193,130,Full Song,84.5,A Major,1
194,131,Full Song,85.0,E Major,1
195,132,Full Song,83.5,G Major,1
196,133,Verse,86.5,D Major,1
197,133,Chorus,86.5,F Major,2
198,133,Bridge,86.5,A Major,3
199,134,Full Song,84.0,A# Major,1
200,135,Verse,72.0,D Major,1
201,135,Chorus,72.0,F Major,2
202,136,Full Song,70.0,C Major,1
203,137,Full Song,71.0,F# Major,1
204,138,Verse,86.0,D# Major,1
205,138,Chorus,86.0,C Major,2
206,139,Full Song,79.0,D Major,1
207,140,Verse,80.0,F# Major,1
208,140,Prechorus,80.0,A Major,2
209,140,Chorus,80.0,F# Major,3
210,141,Intro,81.0,E Major,1
211,141,Verse,81.0,D Major,2
212,141,Chorus,81.0,E Major,3
213,142,Full Song,87.0,E Major,1
214,143,Full Song,74.0,C Major,1
215,144,Full Song,80.0,F Major,1
216,145,Full Song,71.0,A Major,1
217,146,Full Song,84.5,D Major,1
218,147,Full Song,75.0,D# Major,1
219,148,Full Song,86.5,D Major,1
220,149,Full Song,74.0,F Major,1
221,150,Full Song,77.0,C# Major,1
222,151,Full Song,78.0,D# Major,1
223,152,Full Song,86.0,E Major,1
224,153,Full Song,77.0,A Major,1
225,154,Full Song,80.0,F# Major,1
226,155,Full Song,86.5,C# Major,1
227,156,Full Song,82.5,D Major,1
228,157,Full Song,73.0,E Major,1
229,158,Full Song,85.0,D Major,1
230,159,Intro,78.0,A Major,1
231,159,Verse,83.5,C Major,2
232,159,Chorus,83.5,A Major,3
233,160,Full Song,85.0,G# Major,1
234,161,Full Song,71.5,D Major,1
235,162,Full Song,70.0,G Major,1
236,163,Full Song,77.0,D# Major,1
237,164,Intro,72.0,E Major,1
238,164,Verse,72.0,C# Major,2
239,164,Chorus,72.0,E Major,3
240,165,Full Song,82.0,A# Major,1
241,166,Verse,91.0,C Major,1
242,166,Chorus,91.0,F# Major,2
243,167,Full Song,123.0,B Major,1
244,168,Full Song,90.0,A Major,1
245,169,Full Song,134.0,E Major,1
246,170,Full Song,80.0,D Major,1
247,171,Verse,122.0,C# Major,1
248,171,Chorus,122.0,C Major,2
249,172,Verse,92.5,C Major,1
250,172,Chorus,92.5,G Major,2
251,173,Verse,76.0,E Major,1
252,173,Chorus,76.0,F# Major,2
253,174,Full Song,138.0,E Major,1
254,175,Intro,80.0,A# Major,1
255,175,Verse,80.0,C Major,2
256,175,Chorus,80.0,A# Major,3
257,176,Verse,95.0,D# Major,1
258,176,Chorus,95.0,C Major,2
259,177,Full Song,82.0,F Major,1
260,178,Full Song,95.0,E Major,1
261,179,Full Song,124.0,C# Major,1
262,180,Full Song,91.0,F# Major,1
263,181,Verse,85.0,C Major,1
264,181,Chorus,85.0,G Major,2
265,182,Full Song,96.0,D Major,1
266,183,Verse,76.0,D Major,1
267,183,Chorus,76.0,E Major,2
268,183,Bridge,76.0,E Major,3
269,183,Chorus 2,76.0,G Major,4
270,184,Full Song,88.0,E Major,1
271,185,Full Song,87.0,D# Major,1
272,186,Intro,88.0,C# Major,1
273,186,Verse,88.0,E Major,2
274,186,Prechorus A,88.0,E Major,3
275,186,Prechorus B,88.0,G# Major,4
276,186,Chorus,88.0,G# Major,5
277,187,Full Song,84.0,D# Major,1
278,188,Full Song,81.0,D Major,1
279,189,Full Song,70.0,D Major,1
280,190,Full Song,73.5,F Major,1
281,191,Full Song,87.5,D# Major,1
282,192,Intro,124.0,F# Major,1
283,192,Verse,124.0,F# Major,2
284,192,Chorus,124.0,F Major,3
285,192,Bridge,124.0,F# Major,4
286,193,Full Song,129.0,A Major,1
287,194,Full Song,80.0,A Major,1
288,195,Full Song,83.0,G# Major,1
289,196,Full Song,85.0,D# Major,1
290,197,Full Song,75.0,D Major,1
291,198,Verse,97.5,D# Major,1
292,198,Chorus,97.5,D# Major,2
293,198,Last Chorus,97.5,E Major,3
294,199,Full Song,73.0,E Major,1
295,200,Full Song,77.0,B Major,1
296,201,Full Song,92.5,A# Major,1
297,202,Full Song,138.0,B Major,1
298,203,Full Song,125.0,C Major,1
299,204,Full Song,90.0,G Major,1
300,205,Full Song,80.0,A Major,1
301,206,Full Song,71.0,G Major,1
302,207,Full Song,70.5,F# Major,1
303,208,Verse,125.0,D Major,1
304,208,Chorus,125.0,D Major,2
305,208,Bridge,125.0,B Major,3
306,209,Full Song,97.5,C# Major,1
307,210,Verse,88.0,E Major,1
308,210,Chorus,88.0,G Major,2
309,211,Full Song,110.0,G# Major,1
310,212,Verse,101.5,E Major,1
311,212,Prechorus,101.5,G Major,2
312,212,Chorus,101.5,E Major,3
313,213,Full Song,130.0,G Major,1
314,214,Full Song,89.0,C Major,1
315,215,Intro,138.0,A# Major,1
316,215,Verse,138.0,G Major,2
317,215,Chorus,138.0,C Major,3
318,215,Bridge,138.0,D# Major,4
319,216,Full Song,87.5,A# Major,1
320,217,Full Song,100.0,C# Major,1
321,218,Full Song,93.5,D Major,1
322,219,Full Song,72.0,D Major,1
323,220,Verse,90.0,E Major,1
324,220,Chorus,90.0,E Major,2
325,220,Last Chorus,90.0,F Major,3
326,221,Full Song,91.0,C# Major,1
327,222,Full Song,90.0,C# Major,1
328,223,Full Song,90.0,F Major,1
329,224,Full Song,70.0,F Major,1
330,225,Full Song,85.0,D# Major,1
331,226,Verse,93.0,B Major,1
332,226,Prechorus A,93.0,B Major,2
333,226,Prechorus B,93.0,G Major,3
334,226,Chorus,93.0,A Major,4
335,226,Bridge,93.0,A Major,5
336,227,Full Song,136.0,D Major,1
337,228,Full Song,100.0,D# Major,1
338,229,Full Song,93.0,G Major,1
339,230,Verse,120.67,B Major,1
340,230,Chorus,120.67,C Major,2
341,231,Full Song,128.0,G# Major,1
342,232,Verse,87.5,A Major,1
343,232,Prechorus,87.5,G Major,2
344,232,Chorus,87.5,F# Major,3
345,233,Full Song,89.0,C Major,1
346,234,Full Song,75.0,C Major,1
347,235,Full Song,90.0,A Major,1
348,236,Full Song,93.0,G Major,1
349,237,Full Song,120.0,G Major,1
350,238,Full Song,91.0,F# Major,1
351,239,Full Song,130.0,A# Major,1
352,240,Full Song,82.0,G Major,1
353,241,Full Song,72.0,G Major,1
354,242,Full Song,132.0,G Major,1
355,243,Full Song,75.0,F Major,1
356,244,Full Song,124.0,G Major,1
357,245,Full Song,86.0,C# Major,1
358,246,Full Song,97.5,D# Major,1
359,247,Full Song,100.0,D Major,1
360,248,Verse,135.0,B Major,1
361,248,Chorus,135.0,B Major,2
362,248,Bridge,135.0,D Major,3
363,249,Full Song,72.5,C Major,1
364,250,Full Song,121.0,A Major,1
365,251,Intro,70.0,F Major,1
366,251,Verse,70.0,D# Major,2
367,251,Chorus,70.0,F Major,3
368,252,Intro,100.0,C# Major,1
369,252,Verse,136.0,C# Major,2
370,252,Chorus,136.0,F# Major,3
371,253,Full Song,88.0,C# Major,1
372,254,Verse,110.0,F Major,1
373,254,Chorus,110.0,A Major,2
374,255,Full Song,132.0,D Major,1
375,256,Verse,79.0,D Major,1
